"taxon","mean.elev","sd.elev","mean.lat","sd.lat","mean.long","sd.long","n","ci.elev.low","ci.elev.up","ci.lat.low","ci.lat.up","ci.long.low","ci.long.up"
"Solanum_neocardenasii",1704.7037037037,830.025245900333,-17.8784184074074,0.549715416341825,-64.3260665555556,1.20401407727217,27,1376.3566520835,2033.05075532391,-18.0958785835617,-17.6609582312531,-64.8023586615297,-63.8497744495815
"Solanum_neorossii",3006.93902439024,610.939942645776,-22.8693780487805,0.773991172952567,-65.1381134146341,0.210974652184731,82,2872.70079710421,3141.17725167628,-23.0394425604283,-22.6993135371327,-65.1844696295985,-65.0917571996698
"Solanum_neovavilovii",3022.26315789474,620.143428043085,-14.6354368421053,0.0600072052203947,-68.9445105263158,0.264416436904483,19,2723.36359335745,3321.16272243202,-14.6643593892103,-14.6065142950002,-69.0719551693988,-68.8170658832327
"Solanum_nubicola",2823.85714285714,917.073482938659,-8.85302497142857,2.24184731215571,-76.7929971428571,0.980258259564558,35,2508.83137940023,3138.88290631406,-9.62312646733337,-8.08292347552378,-77.1297276364864,-76.4562666492279
"Solanum_okadae",3138.92903225806,639.371171488734,-19.2448265677419,3.44984082718444,-66.5881887225806,0.807819579872952,155,3037.47679932124,3240.38126519489,-19.7922301273669,-18.697423008117,-66.7163695099586,-66.4600079352027
"Solanum_olmosense",764.636363636364,849.814576159302,-5.497485,1.28951927541032,-79.519605,1.21776473397447,22,387.849688738529,1141.4230385342,-6.06922581691374,-4.92574418308626,-80.0595316355206,-78.9796783644794
"Solanum_oxycarpum",2207.8380952381,525.252686946654,18.6660157,1.41309429402363,-96.6570185571429,1.74880852407434,210,2136.38371396672,2279.29247650947,18.4737810271142,18.8582503728858,-96.8949231584049,-96.4191139558809
"Solanum_paucissectum",2432.43421052632,848.342876208692,-5.3308769868421,0.261523362877761,-79.4917099473684,0.186415662238479,76,2238.57955905153,2626.2888620011,-5.39063763526029,-5.27111633842392,-79.5343077509761,-79.4491121437608
"Solanum_pillahuatense",2884.0625,675.624695497927,-13.229646,0.104142000371928,-71.6586581875,0.321505550477172,16,2524.047512453,3244.077487547,-13.2851393548416,-13.1741526451584,-71.8299764023649,-71.4873399726351
"Solanum_piurae",2327.57894736842,840.07941087337,-5.23608135789474,0.722397559076496,-79.5219539157895,0.620068131523029,95,2156.44602875843,2498.71186597842,-5.38324125859147,-5.088921457198,-79.6482682471623,-79.3956395844166
